EV_bin,LA_bin,sample_size,source,ba_value,slg_value,iso_value,wobacon_value,rv_value
62,37,7,modeled,0.493047535,0.525606215,0.111008815,0.460104316,0.067140192
62,38,1,modeled,0.471934617,0.528046131,0.110257313,0.460104316,0.067140192
91,5,95,empirical,0.463157895,0.536842105,0.136842105,0.45880852,0.062277471
98,0,185,empirical,0.475675676,0.518918919,0.081081081,0.458769906,0.062246485
64,20,16,modeled,0.550681412,0.621737242,0.098922402,0.458741099,0.067730039
95,26,134,empirical,0.305970149,0.776119403,0.776119403,0.458703834,0.062193465
99,-1,190,empirical,0.473684211,0.521052632,0.094736842,0.458699073,0.062189645
90,19,102,empirical,0.411764706,0.607843137,0.37254902,0.458349938,0.061909479
95,36,113,empirical,0.247787611,0.89380531,0.89380531,0.458155116,0.061753143
75,12,35,modeled,0.515885115,0.552273035,0.091341332,0.457646459,0.054712966
74,32,20,modeled,0.384448469,0.530298829,0.136018097,0.457082659,0.060294285
88,3,69,empirical,0.449275362,0.550724638,0.173913043,0.456104313,0.060107463
97,23,168,empirical,0.30952381,0.761904762,0.755952381,0.455925432,0.059963918
80,9,48,modeled,0.460851282,0.505413413,0.091161042,0.455792248,0.058649469
82,7,65,empirical,0.476923077,0.507692308,0.061538462,0.455253276,0.059424542
82,23,69,empirical,0.434782609,0.565217391,0.260869565,0.454849723,0.059100709
80,8,48,modeled,0.471186966,0.500534177,0.091102287,0.454310864,0.056756429
80,7,42,modeled,0.472830564,0.499839664,0.088357627,0.454310864,0.056756429
89,20,90,empirical,0.377777778,0.644444444,0.488888889,0.453408012,0.057943799
58,27,9,modeled,0.395417541,0.420847803,0.105672494,0.452977002,0.048843767
70,13,16,modeled,0.434860319,0.50137502,0.084975913,0.452631682,0.048389178
85,2,61,empirical,0.459016393,0.524590164,0.131147541,0.452146718,0.056931665
90,4,94,empirical,0.468085106,0.510638298,0.085106383,0.451621999,0.056510601
93,-1,130,empirical,0.469230769,0.507692308,0.069230769,0.450845391,0.055887407
65,16,16,modeled,0.418352634,0.470889002,0.077650987,0.450541764,0.058218613
91,3,99,empirical,0.454545455,0.525252525,0.141414141,0.449987703,0.055199149
61,25,3,modeled,0.474871427,0.479878098,0.10841836,0.449325562,0.058337312
60,31,5,modeled,0.438778579,0.606663048,0.127334923,0.449124068,0.054814894
95,34,116,empirical,0.25862069,0.844827586,0.836206897,0.449103931,0.054489961
89,1,83,empirical,0.457831325,0.518072289,0.120481928,0.448971047,0.054383327
58,29,7,modeled,0.422632515,0.532885313,0.137522072,0.448813319,0.047238205
95,0,142,empirical,0.450704225,0.528169014,0.133802817,0.448359109,0.053892274
95,35,86,empirical,0.255813953,0.848837209,0.837209302,0.448325766,0.053865518
70,40,20,modeled,0.377115577,0.517163754,0.115018636,0.448321104,0.05422166
65,15,14,modeled,0.420106202,0.470889002,0.076866738,0.448135108,0.056287367
78,7,54,empirical,0.481481481,0.481481481,0,0.447522536,0.053220961
93,0,125,empirical,0.448,0.528,0.16,0.447518369,0.053217616
76,29,31,modeled,0.403629363,0.475959271,0.166122943,0.447230667,0.052409813
60,32,8,modeled,0.384853154,0.587577522,0.122175492,0.44718197,0.053256508
90,0,88,empirical,0.465909091,0.5,0.068181818,0.446308068,0.052246403
100,-3,135,empirical,0.466666667,0.496296296,0.059259259,0.445277005,0.051419019
59,25,9,modeled,0.427108735,0.466209322,0.110506855,0.445026189,0.054887261
60,25,8,modeled,0.461154938,0.466209322,0.10841836,0.445026189,0.054887261
95,32,115,empirical,0.234782609,0.87826087,0.87826087,0.444921738,0.051133933
92,18,121,empirical,0.396694215,0.595041322,0.363636364,0.444787599,0.051026292
97,19,193,empirical,0.357512953,0.647668394,0.564766839,0.444647745,0.050914065
97,37,92,empirical,0.239130435,0.869565217,0.869565217,0.444220916,0.050571554
88,1,63,empirical,0.444444444,0.523809524,0.158730159,0.443966636,0.050367505
82,10,52,empirical,0.461538462,0.5,0.076923077,0.443945649,0.050350664
62,39,8,modeled,0.438919157,0.500262022,0.107049853,0.442557603,0.053059664
61,26,9,modeled,0.496172249,0.494681358,0.123950869,0.442254245,0.052424248
74,12,38,modeled,0.501315594,0.552273035,0.091341332,0.441655189,0.04188063
97,-2,194,empirical,0.448453608,0.510309278,0.118556701,0.440715236,0.047758398
96,38,96,empirical,0.239583333,0.854166667,0.854166667,0.440566638,0.047639155
64,40,5,modeled,0.345635921,0.49370864,0.107049853,0.440225661,0.049530104
69,14,12,modeled,0.44564417,0.499620646,0.09181948,0.440198541,0.049048133
94,2,150,empirical,0.453333333,0.5,0.093333333,0.439510599,0.04679173
94,26,139,empirical,0.28057554,0.769784173,0.769784173,0.439247878,0.046580908
83,6,65,empirical,0.446153846,0.507692308,0.123076923,0.438621841,0.04607854
71,40,11,modeled,0.340292126,0.496561289,0.114028804,0.438353956,0.046223469
59,26,4,modeled,0.43416208,0.481012583,0.126039356,0.437954873,0.048974205
60,26,3,modeled,0.482455462,0.481012583,0.123950869,0.437954873,0.048974205
64,19,10,modeled,0.48311618,0.552341402,0.101818718,0.437690198,0.048466723
60,33,9,modeled,0.345677197,0.570029676,0.116474412,0.437530458,0.045511566
82,9,54,empirical,0.462962963,0.481481481,0.037037037,0.437512877,0.045188644
81,23,49,modeled,0.441369116,0.538245082,0.183524325,0.437481612,0.04672154
96,-1,125,empirical,0.44,0.512,0.144,0.436971024,0.044753831
94,19,146,empirical,0.369863014,0.609589041,0.45890411,0.436349678,0.044255228
100,40,44,modeled,0.225799873,0.889646053,0.89641881,0.436134845,0.04287241
85,5,49,modeled,0.442318499,0.466882885,0.102212436,0.436099887,0.045067109
100,-1,191,empirical,0.455497382,0.486910995,0.062827225,0.435589369,0.043645113
59,31,7,modeled,0.406297594,0.596129119,0.127334923,0.435438663,0.043832965
97,39,72,empirical,0.236111111,0.847222222,0.847222222,0.435241194,0.043365718
93,1,118,empirical,0.43220339,0.516949153,0.161016949,0.4344063,0.042695751
98,-3,160,empirical,0.44375,0.5,0.1125,0.434330601,0.042635006
85,8,81,empirical,0.456790123,0.481481481,0.049382716,0.434176324,0.042511206
96,22,163,empirical,0.306748466,0.705521472,0.680981595,0.434115193,0.042462151
59,32,8,modeled,0.360557467,0.577043712,0.122175492,0.433496565,0.042274565
79,8,43,modeled,0.469524771,0.493767768,0.086497217,0.433303177,0.039898694
99,38,67,empirical,0.223880597,0.865671642,0.865671642,0.432882795,0.041473205
64,18,9,modeled,0.442155778,0.533313453,0.099796481,0.431651562,0.040833816
74,33,26,modeled,0.352085203,0.512750983,0.13003771,0.431220591,0.039541092
95,-2,124,empirical,0.443548387,0.491935484,0.096774194,0.431084945,0.040030509
92,3,93,empirical,0.440860215,0.494623656,0.107526882,0.43067749,0.039703544
58,25,4,modeled,0.427877456,0.368563175,0.110506855,0.429590046,0.035170395
94,30,119,empirical,0.260504202,0.781512605,0.773109244,0.429250771,0.038558664
61,34,6,modeled,0.355462074,0.510109603,0.117432527,0.429006994,0.038671922
61,35,9,modeled,0.346067101,0.501752973,0.117432527,0.429006994,0.038671922
100,41,41,modeled,0.221583232,0.865592837,0.900827944,0.427818865,0.036199231
61,24,4,modeled,0.465131611,0.472396016,0.103176437,0.42776227,0.0410337
90,2,101,empirical,0.435643564,0.495049505,0.108910891,0.427701595,0.037315518
100,-5,141,empirical,0.453900709,0.468085106,0.028368794,0.427404036,0.037076739
93,19,158,empirical,0.367088608,0.588607595,0.436708861,0.427151513,0.036874101
99,-4,162,empirical,0.438271605,0.487654321,0.098765432,0.426567579,0.036405519
92,1,101,empirical,0.445544554,0.475247525,0.059405941,0.425673164,0.03568779
79,9,39,modeled,0.454044133,0.498647094,0.081986174,0.425085008,0.034008294
92,-1,94,empirical,0.425531915,0.5,0.14893617,0.424483332,0.034733001
98,-6,161,empirical,0.440993789,0.47826087,0.074534161,0.424385412,0.034654425
84,5,44,modeled,0.442318499,0.462451786,0.092207737,0.424193025,0.03551235
59,33,5,modeled,0.321381509,0.559495866,0.116474412,0.423845053,0.034529641
59,24,9,modeled,0.431085438,0.472396016,0.105264932,0.423462898,0.037583645
60,24,10,modeled,0.465131611,0.472396016,0.103176437,0.423462898,0.037583645
68,14,26,modeled,0.434672683,0.482796848,0.09181948,0.423292458,0.034174465
58,30,6,modeled,0.353578717,0.511706114,0.131756872,0.421746016,0.025517819
88,0,77,empirical,0.441558442,0.467532468,0.051948052,0.420517825,0.031550855
95,19,179,empirical,0.340782123,0.608938547,0.502793296,0.419655487,0.030858866
81,6,47,modeled,0.410727084,0.468304038,0.095453478,0.418854356,0.02830424
94,0,160,empirical,0.4375,0.46875,0.0625,0.418797707,0.030170535
