EV_bin,LA_bin,sample_size,source,ba_value,slg_value,iso_value,wobacon_value,rv_value
125,32,,modeled,0.955305934,3.926316738,3.893100977,1.972152829,1.241322637
126,32,,modeled,0.955305934,3.926316738,3.893100977,1.972152829,1.241322637
127,32,,modeled,0.955305934,3.926316738,3.893100977,1.972152829,1.241322637
128,32,,modeled,0.955305934,3.926316738,3.893100977,1.972152829,1.241322637
129,32,,modeled,0.955305934,3.926316738,3.893100977,1.972152829,1.241322637
130,32,,modeled,0.955305934,3.926316738,3.893100977,1.972152829,1.241322637
112,29,14,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
113,29,11,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
114,29,3,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
116,29,2,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
115,29,,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
117,29,,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
118,29,,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
119,29,,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
120,29,,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
121,29,,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
122,29,,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
123,29,,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
124,29,,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
125,29,,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
126,29,,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
127,29,,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
128,29,,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
129,29,,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
130,29,,modeled,0.982050419,3.900854826,3.877784014,1.970199943,1.251219988
112,28,14,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
113,28,6,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
114,28,5,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
115,28,4,modeled,0.983173251,3.879184484,3.85482192,1.962113619,1.245205164
